12,1,10,7,6,15,9,3,12,11,14,13,6,2,12
4,11,8,13,10,13,6,8,1,9,9,5,5,7,15
5,6,12,8,8,9,14,10,6,2,10,3,7,12,14
13,8,1,3,9,11,7,14,11,5,15,1,14,10,8
11,3,4,9,5,1,13,12,7,10,14,6,2,11,9
7,6,14,9,4,3,3,8,5,15,12,7,4,6,11
12,13,6,13,14,7,11,6,8,9,3,2,1,5,4
14,2,5,15,11,4,10,1,3,6,11,8,9,9,1
10,6,15,11,11,9,12,12,2,4,10,14,3,5,8
15,5,3,2,6,12,13,11,2,14,7,9,11,1,8
2,9,13,14,5,10,3,4,7,1,3,11,15,8,6
1,1,7,10,15,14,8,2,10,12,6,7,13,11,5
9,4,8,1,14,6,14,13,15,1,5,7,10,3,2
4,10,4,12,3,8,4,12,13,8,2,7,9,15,12
11,7,2,8,6,13,5,9,4,3,13,15,12,4,10
