5,8,9,12,17,13,3,11,2,20,1,11,10,7,11,14,16,4,6,18
13,10,6,20,7,17,14,4,15,5,20,7,4,1,13,5,8,2,11,18
19,14,13,10,12,13,1,5,2,8,7,5,13,17,16,9,18,20,18,15
15,5,3,18,11,7,17,2,17,9,13,15,2,16,8,10,14,1,12,17
4,1,14,3,14,9,19,9,12,15,5,5,14,10,18,2,6,4,17,2
1,8,14,19,10,2,8,6,7,11,20,13,12,12,5,4,17,18,5,16
11,9,9,5,3,11,3,16,20,18,10,8,20,1,15,6,8,4,2,2
10,18,17,1,9,19,13,8,5,5,2,17,19,9,7,3,20,18,1,6
3,6,5,6,13,14,7,4,9,15,16,4,17,19,10,7,12,8,4,1
13,3,2,11,4,18,3,20,20,16,9,5,7,2,19,17,15,10,14,18
13,12,11,12,20,16,4,9,10,14,18,13,7,7,6,11,19,16,8,14
4,20,5,7,1,12,8,3,18,4,1,9,5,15,13,16,14,13,3,10
9,11,13,15,12,1,10,17,14,3,8,20,18,3,2,5,5,17,7,15
3,4,8,12,19,10,20,2,3,20,11,7,2,13,1,15,3,14,18,5
7,15,4,1,3,8,8,18,1,10,10,19,12,4,9,20,11,17,5,19
16,11,12,4,1,6,18,20,13,16,17,1,15,11,14,10,9,13,20,3
17,7,8,13,15,20,2,12,20,19,14,2,11,9,9,5,13,16,4,4
11,19,15,1,12,15,14,10,8,6,20,2,3,18,5,18,4,7,16,12
17,4,19,3,14,3,12,7,6,1,15,18,14,5,11,14,13,9,10,4
14,17,10,18,9,12,16,17,4,1,6,6,9,8,3,1,19,19,11,20
