7,12,11,6,4,8,1,6,6,3,15,9,13,10,2
4,5,3,14,4,13,6,8,9,10,2,12,12,5,7
10,11,14,6,3,7,12,2,14,15,4,8,9,13,1
8,7,4,15,13,7,2,3,5,10,14,6,15,11,11
11,14,6,12,8,1,10,7,6,6,3,2,4,10,13
3,1,1,10,2,9,5,11,8,7,13,15,9,4,14
13,2,2,11,1,4,9,14,10,12,5,1,10,8,5
14,14,12,13,1,8,11,2,4,9,10,12,5,6,11
9,5,10,4,12,6,3,1,14,9,12,7,11,9,15
1,3,7,2,12,8,8,6,3,13,9,10,15,14,9
5,13,9,13,10,11,13,15,12,1,14,2,6,13,15
1,8,15,15,14,15,6,10,12,11,5,1,1,6,4
15,6,8,5,3,9,13,10,1,14,6,3,7,2,12
5,15,7,3,11,10,10,5,13,4,7,14,8,12,15
10,4,13,8,7,15,14,9,12,5,15,11,12,1,8
