17,20,8,9,1,15,18,13,12,22,17,14,10,11,8,16,6,11,7,4,5,19
2,11,19,10,20,3,7,14,15,10,2,5,20,4,17,1,8,18,22,17,6,17
2,4,19,8,12,5,17,22,13,6,14,1,7,20,11,9,10,6,15,4,12,14
22,14,20,12,17,8,3,17,21,14,11,14,15,13,7,4,10,1,19,18,21,9
21,18,12,15,14,3,17,7,4,10,8,15,16,22,19,3,3,6,11,2,20,15
12,13,12,14,8,19,20,22,11,5,17,18,5,15,1,21,12,12,16,8,9,10
10,21,13,16,3,14,11,4,16,20,12,12,22,14,2,8,15,22,4,5,1,11
10,7,7,22,6,3,4,2,2,21,12,8,16,15,20,10,5,7,9,6,19,13
5,12,1,4,15,7,9,17,22,12,18,11,20,19,14,6,9,3,1,14,8,16
20,19,16,12,6,19,15,11,8,14,15,19,8,9,18,7,7,10,2,13,4,3
7,19,14,6,1,12,1,8,5,15,13,4,14,21,17,8,20,10,21,16,18,11
19,2,8,20,19,16,13,2,17,7,1,10,20,21,15,11,4,5,5,12,3,6
15,5,16,19,22,14,8,3,6,5,4,18,21,16,19,2,18,17,12,13,11,7
15,1,15,1,2,19,19,18,3,18,3,16,8,6,21,20,21,7,3,11,22,10
8,6,18,7,16,1,3,13,8,2,22,11,3,17,14,9,21,20,10,19,15,4
19,15,12,16,13,16,22,1,14,9,2,4,18,19,12,13,11,17,17,14,8,15
19,17,14,5,11,22,13,19,9,12,9,3,2,13,19,8,7,21,13,10,9,15
14,16,22,18,13,20,10,4,16,13,5,6,12,9,4,3,8,2,8,1,21,17
9,22,17,6,12,13,3,21,8,18,14,20,10,15,3,19,2,19,13,4,8,1
1,8,9,15,4,2,14,12,16,8,10,22,19,3,11,18,13,1,5,16,7,12
12,6,16,3,10,4,11,15,9,14,19,11,17,22,10,6,22,11,13,7,2,21
5,8,21,16,18,2,9,5,1,16,12,17,4,12,6,13,16,15,12,20,22,22
