19,17,20,20,13,19,11,10,22,9,17,16,19,13,1,5,12,4,6,2,22,12
14,2,19,16,4,12,13,12,5,1,8,8,22,17,8,10,17,20,21,7,18,15
1,15,6,14,4,16,21,8,13,18,4,20,3,11,21,6,10,5,11,12,8,2
13,14,16,6,8,6,21,3,16,22,4,10,12,4,5,2,20,4,9,13,11,19
5,1,5,22,20,7,14,18,16,16,17,15,6,7,7,21,8,13,8,10,6,9
22,16,14,19,3,17,14,12,15,8,18,13,1,4,6,20,5,11,16,13,7,21
12,9,3,17,16,15,16,1,6,18,10,7,7,18,8,22,12,19,21,2,12,3
16,6,18,14,17,1,16,9,11,14,21,6,5,22,5,12,2,1,19,21,20,4
7,6,19,21,14,8,3,19,18,13,11,8,4,20,10,4,17,12,12,15,16,5
17,18,17,19,17,10,15,22,5,12,1,17,11,15,16,21,14,19,7,3,21,6
9,7,2,20,11,4,20,19,17,5,22,1,15,14,18,13,22,7,12,3,8,8
12,11,11,18,9,22,19,18,3,8,5,7,13,16,22,14,9,15,1,19,10,17
20,12,8,10,19,9,5,14,2,3,21,11,6,8,4,16,13,21,18,1,15,17
9,19,12,2,7,22,6,21,20,15,7,5,14,9,8,6,12,1,13,8,3,18
19,8,11,19,16,2,7,14,21,18,6,13,10,15,17,15,9,19,5,4,13,14
18,16,10,1,5,5,17,4,19,2,11,12,4,10,11,22,7,22,5,6,13,3
8,5,1,4,16,19,4,15,9,21,14,17,16,8,22,3,6,10,20,13,2,20
15,4,17,20,7,21,20,18,6,6,10,14,2,13,5,8,8,16,11,19,5,12
15,20,13,12,2,3,8,10,10,7,16,22,4,7,14,19,3,22,22,9,9,1
3,22,4,6,22,8,1,7,14,14,9,10,17,5,3,18,19,2,15,12,19,16
10,13,21,21,22,10,6,2,12,17,19,9,18,21,7,11,19,14,4,16,1,20
18,1,15,9,1,7,4,6,12,4,20,2,18,19,13,17,19,21,5,5,20,22
