13,15,20,14,10,5,16,19,13,7,15,17,12,9,9,13,4,11,1,2
16,7,19,19,19,3,6,3,8,11,12,5,15,4,14,7,10,16,9,4
4,11,7,20,16,19,18,17,10,3,20,12,18,14,3,2,11,15,13,11
17,20,14,2,12,10,15,5,5,13,19,6,17,11,9,13,6,8,16,18
13,19,15,18,5,2,4,1,6,9,11,3,8,20,3,17,18,9,1,19
9,19,6,10,14,14,5,7,9,18,8,2,16,5,2,11,1,20,4,3
12,18,1,16,11,20,2,7,19,15,10,6,5,18,3,14,11,4,17,7
20,9,17,3,1,20,11,16,13,1,18,17,6,4,19,8,8,10,4,4
1,8,5,13,2,4,3,6,18,10,13,15,20,19,3,20,12,13,7,13
7,7,18,4,20,13,12,16,3,5,16,14,19,11,10,6,8,2,13,9
2,17,6,18,12,11,16,3,18,12,15,13,20,13,4,1,5,12,8,14
14,2,20,13,4,3,20,9,15,11,1,18,14,15,6,16,19,17,12,14
10,18,12,13,15,6,13,3,4,1,2,11,7,8,6,5,7,16,2,17
8,14,13,12,8,15,18,11,1,9,4,7,17,16,20,18,17,5,12,10
19,6,9,15,14,12,10,4,14,14,17,9,13,2,16,3,1,8,18,16
11,13,4,18,3,20,14,12,18,8,17,10,16,6,1,11,16,7,1,20
5,12,19,1,13,7,4,15,2,17,6,13,9,10,17,12,14,18,3,10
3,11,3,17,9,18,13,20,1,9,5,1,4,3,13,20,15,14,13,8
7,4,16,5,17,1,7,13,20,16,9,5,18,12,1,15,1,19,5,6
14,1,8,5,6,16,9,10,12,17,13,8,20,3,11,8,20,14,15,1
