18,2,20,12,7,6,12,9,17,14,15,19,10,3,16,11,13,17,4,13
10,10,14,11,14,8,13,12,3,1,16,7,18,1,9,10,19,13,15,17
11,13,17,14,20,2,7,1,19,10,13,16,3,5,11,18,4,8,11,5
12,9,10,18,16,18,5,5,19,11,2,6,15,15,3,4,1,9,1,19
14,10,14,12,5,4,1,6,6,2,7,3,17,16,13,4,5,18,7,20
11,18,5,3,1,9,2,7,4,12,13,12,16,6,6,20,14,17,17,15
5,4,4,16,15,14,16,1,12,7,9,8,11,10,2,20,17,19,3,11
4,16,15,1,14,3,19,18,10,9,8,2,7,15,17,14,6,4,10,9
1,9,13,5,2,5,19,8,7,15,10,12,12,4,18,17,2,6,16,3
18,19,6,8,5,12,6,10,15,13,3,11,14,1,1,3,2,3,7,20
9,17,8,4,10,19,6,3,16,7,1,4,13,20,6,12,18,16,11,2
7,4,20,6,13,7,11,13,2,17,7,10,13,19,3,2,1,16,7,14
16,1,6,19,20,7,9,13,20,5,4,9,11,7,8,10,4,15,12,18
3,9,20,5,3,15,3,19,1,6,15,18,12,2,7,16,10,7,6,13
19,3,2,10,6,14,5,17,9,18,7,12,20,8,15,1,16,20,9,16
11,12,7,10,6,10,13,7,9,12,20,17,15,5,19,3,8,11,18,4
8,14,1,7,15,20,11,15,10,16,14,19,13,3,19,6,12,17,10,9
20,6,18,10,11,1,15,20,14,1,14,10,8,5,7,10,9,10,13,19
6,20,8,2,17,11,5,4,14,12,7,1,19,16,10,7,15,4,8,11
17,7,16,18,14,13,10,6,16,8,19,20,5,14,4,9,8,12,2,7
