14,2,8,20,6,10,20,3,17,13,7,20,16,1,5,4,1,12,9,19
1,17,13,14,12,19,12,18,3,6,12,10,11,10,2,13,8,13,7,5
10,15,2,5,18,4,19,9,8,1,13,5,6,3,3,7,16,11,14,17
19,14,7,13,1,1,18,6,5,9,3,10,12,1,19,2,4,17,6,5
9,13,6,2,10,3,11,17,7,3,15,4,6,16,18,1,5,3,20,8
20,10,4,10,11,6,8,7,16,18,15,1,2,14,9,3,20,16,5,20
13,16,19,5,13,8,15,12,10,1,2,15,17,17,14,9,1,3,10,4
2,5,11,12,1,17,14,5,10,20,9,8,15,7,4,19,17,10,16,6
16,6,10,16,19,17,5,12,9,14,1,18,8,12,1,15,18,13,2,12
6,7,18,20,1,3,3,13,14,8,8,7,4,2,10,15,9,7,5,15
3,1,2,15,14,15,16,11,18,7,4,20,3,18,9,17,19,5,18,1
19,15,20,4,17,16,7,1,3,8,14,13,9,4,12,17,7,2,15,5
17,19,20,7,13,15,9,19,4,16,20,20,1,15,9,5,12,5,17,18
11,8,19,4,10,14,1,6,18,6,16,17,20,10,15,13,3,9,13,6
16,20,14,7,3,12,12,19,13,4,19,2,10,17,9,11,3,8,15,1
20,2,9,9,5,5,10,14,9,15,18,16,13,5,8,1,11,19,11,6
3,12,9,7,2,15,18,10,1,19,6,2,18,5,3,8,20,14,4,13
7,19,6,8,18,9,13,1,20,19,11,14,7,18,4,12,15,13,3,2
3,9,13,18,15,13,9,2,15,5,1,11,19,12,1,6,9,4,10,16
5,4,3,16,4,7,12,15,6,19,19,13,9,8,20,6,2,10,13,14
