19,3,15,10,21,9,8,19,21,22,12,9,2,17,11,17,7,14,13,22,16,13
20,3,14,2,11,8,9,13,22,10,21,15,4,16,6,7,16,9,17,5,8,1
16,9,8,15,12,17,13,18,17,16,2,14,11,10,1,3,6,4,22,19,1,7
3,1,13,6,16,18,1,7,15,12,20,12,10,13,17,9,10,11,7,15,2,19
14,13,21,3,1,20,11,22,8,13,19,2,18,5,19,15,9,10,12,7,6,12
21,5,5,4,6,1,16,17,9,9,1,22,7,4,2,16,16,20,11,4,3,12
15,11,20,17,15,2,14,14,3,5,8,5,21,15,7,6,16,8,12,4,13,22
4,7,17,6,7,22,21,9,8,18,3,11,2,12,8,10,10,1,19,21,5,20
18,16,9,11,15,13,10,19,14,6,10,1,4,3,13,13,19,12,1,17,21,8
17,5,16,10,13,14,7,11,2,15,18,6,9,3,21,5,1,19,10,8,14,2
8,2,10,14,17,12,3,3,13,16,22,17,14,21,4,15,19,2,15,17,11,3
13,20,7,1,19,3,5,12,4,9,6,12,16,21,15,17,3,2,1,11,20,14
7,1,16,6,14,13,2,20,7,3,18,4,22,18,5,20,12,15,16,14,17,10
15,6,2,7,22,22,9,1,20,12,4,19,8,9,10,11,5,7,16,3,22,18
5,8,19,17,18,4,16,14,10,1,11,6,17,13,9,2,8,16,3,10,9,18
11,11,6,19,19,21,4,2,16,17,15,20,13,8,13,10,18,2,5,1,14,16
14,10,18,4,9,15,1,16,1,13,7,21,13,8,3,18,11,5,4,9,8,17
1,21,22,2,20,16,19,15,17,8,16,7,3,9,14,12,11,18,21,21,10,7
6,7,9,16,10,10,5,5,9,2,7,3,16,11,17,14,8,11,20,5,13,15
9,1,12,8,4,11,22,12,19,7,13,12,6,1,16,6,17,3,21,2,18,15
12,17,4,20,18,5,17,6,18,12,10,13,14,3,22,19,21,7,17,9,15,11
11,21,16,1,17,7,6,8,2,20,1,16,18,22,12,18,21,13,9,9,4,5
