17,19,9,18,7,15,1,20,3,1,4,7,9,9,11,13,12,15,14,10
5,8,3,1,16,20,12,10,20,7,1,9,10,14,18,2,10,11,13,1
12,16,9,17,1,8,16,6,19,15,5,13,14,10,14,7,2,4,4,20
20,5,10,9,5,16,5,15,17,16,8,3,7,2,14,12,13,8,19,4
9,9,16,10,14,7,2,5,17,20,17,14,13,8,3,8,8,1,11,19
16,9,15,3,4,2,17,18,12,5,15,10,19,11,1,6,3,20,4,9
7,5,8,14,20,10,10,15,1,3,11,6,20,9,1,18,16,14,2,5
4,1,9,4,16,6,7,3,16,10,13,7,18,17,20,11,12,12,17,14
10,6,4,12,15,9,5,19,10,1,20,17,8,4,16,3,20,7,11,13
1,15,13,19,5,18,16,11,4,9,14,20,3,13,10,5,5,17,6,7
14,10,18,8,7,17,13,17,11,15,9,16,4,1,7,8,3,10,7,5
3,13,11,15,4,19,17,7,8,4,12,1,6,19,2,9,19,5,10,12
4,2,17,8,19,7,15,10,9,18,8,14,12,16,6,13,4,13,18,11
11,4,5,5,9,20,18,20,2,19,19,4,17,6,13,14,7,7,8,16
9,14,7,11,15,1,10,9,7,16,10,15,2,17,13,3,18,8,12,17
6,4,4,5,13,5,3,8,18,7,16,17,11,11,12,1,15,2,9,17
19,10,1,6,17,6,14,3,19,8,2,12,2,5,16,20,19,18,6,15
2,20,6,18,3,10,3,14,13,5,1,11,7,12,13,19,5,17,20,18
8,3,14,7,14,4,20,17,13,12,16,19,15,12,9,10,2,16,5,1
8,12,2,20,4,12,19,12,15,13,6,1,13,8,7,16,10,8,18,12
