6,1,13,9,5,12,3,11,10,7,2,9,4,7,15
1,4,10,10,3,15,1,7,6,9,14,14,12,11,13
14,3,15,14,4,1,9,6,3,2,2,1,10,9,12
15,14,5,4,10,7,11,9,1,3,12,6,15,3,10
1,11,12,11,8,4,15,5,3,13,13,14,6,2,9
9,6,10,5,9,3,5,8,15,11,7,13,3,15,11
2,8,12,13,12,3,7,10,11,14,8,3,1,2,6
10,1,7,6,2,5,12,11,4,15,15,5,3,1,11
7,2,3,1,6,11,4,15,5,12,13,8,7,4,5
15,10,3,12,13,4,6,11,14,5,9,11,12,7,8
11,2,6,3,1,1,2,14,5,4,8,7,15,9,7
9,13,1,2,14,8,9,12,15,14,6,10,8,5,4
13,9,14,12,13,6,5,15,2,10,14,7,8,4,14
13,5,2,15,11,9,7,13,8,9,4,12,14,10,1
5,7,8,15,15,11,14,4,9,6,11,2,4,12,7
