17,16,12,21,21,15,2,22,10,4,10,9,5,15,8,19,18,1,2,7,11,14
5,15,7,1,14,20,15,13,12,15,9,4,2,11,14,3,2,16,8,17,13,3
1,22,13,18,7,16,6,7,5,9,8,19,11,17,12,9,20,13,3,19,14,15
11,2,2,12,17,11,8,16,8,3,13,2,9,3,21,10,1,14,19,18,10,5
22,13,20,14,18,2,19,4,18,21,10,11,1,6,4,16,5,3,1,15,10,4
21,19,17,8,16,20,20,12,2,10,4,13,15,7,19,5,13,22,6,17,1,11
18,10,22,4,4,8,11,15,4,6,4,12,19,3,5,15,14,20,13,11,17,10
19,15,1,6,15,4,12,3,17,11,8,13,21,20,1,18,16,21,14,11,9,7
16,6,2,19,11,14,6,11,6,1,3,20,7,14,13,2,21,5,4,12,4,19
13,2,8,7,9,4,16,2,14,20,21,4,4,10,11,22,9,15,7,10,3,1
6,19,14,2,13,22,22,18,4,8,16,7,12,17,4,15,6,1,21,20,4,16
22,20,10,21,8,7,14,8,6,12,16,22,18,2,20,2,1,7,19,9,15,21
4,11,16,10,11,1,7,19,13,14,17,5,18,21,2,6,22,16,20,16,2,8
2,14,17,20,5,17,18,10,11,15,19,1,6,8,7,4,17,21,22,13,3,9
3,2,15,2,10,5,4,16,1,17,17,21,5,18,9,21,19,11,6,5,12,18
7,18,6,22,18,11,19,9,20,5,6,15,3,21,16,12,17,17,4,2,3,13
2,3,10,5,22,21,1,6,15,18,20,16,8,12,14,21,7,9,12,16,19,10
7,11,21,18,1,10,7,13,16,19,10,18,17,15,10,8,2,21,5,11,20,4
14,17,11,9,17,18,3,13,13,20,7,16,4,8,2,1,12,10,12,4,14,6
15,16,9,9,12,7,7,14,4,13,11,16,10,16,18,21,3,2,2,19,6,17
20,21,11,13,7,19,22,17,21,16,20,8,14,11,10,11,4,2,1,3,18,12
5,20,19,21,7,6,5,9,3,2,15,14,22,14,16,9,10,6,17,3,16,2
