2,14,7,4,6,10,12,4,11,3,15,6,15,13,8
7,11,12,9,15,1,4,3,14,7,2,11,3,6,13
6,15,10,10,2,3,13,13,5,8,12,9,14,1,9
15,1,5,11,10,9,4,10,12,1,6,14,12,7,6
13,12,4,13,3,2,7,13,9,7,5,8,1,11,10
3,4,14,12,13,2,11,14,1,5,10,2,6,9,13
13,12,15,8,13,12,7,9,1,13,4,10,12,2,7
14,6,11,12,9,15,14,5,8,4,8,12,13,10,15
1,7,11,5,14,8,9,15,13,10,11,4,3,12,2
2,8,14,1,4,1,5,8,3,13,7,15,2,11,9
4,10,3,6,1,5,2,2,15,14,8,13,9,14,12
3,2,4,7,3,13,15,4,6,6,4,1,8,6,5
5,1,2,1,6,8,3,5,4,11,14,7,13,12,15
14,3,9,12,10,5,1,12,4,15,13,8,7,7,4
9,4,1,13,1,4,8,9,10,2,2,3,5,15,3
